bearing,delay,event_timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,tripID,vehicle_id,vehicle_location_latitude,vehicle_location_longitude
121,-64,2017-01-31 07:39:31,8354,42,8355,43,7127547,221,45.515721,-122.45943999999999
357,-122,2017-01-31 07:39:33,11510,10,11511,11,7128219,532,45.555397,-122.682266
308,-40,2017-01-31 07:39:41,13725,6,13726,7,7130120,301,45.502972,-122.653494
13,36,2017-01-31 07:40:24,13140,1,10293,2,7129362,241,45.509283,-122.683774
7,-174,2017-01-31 07:40:25,13134,3,13135,4,7129576,321,45.480181,-122.56680700000001
90,33,2017-01-31 07:40:28,9846,2,9843,3,7127548,230,45.521271999999996,-122.97850600000001
200,-34,2017-01-31 07:40:34,7627,3,7646,4,7129575,413,45.518182,-122.677876
291,-187,2017-01-31 07:40:36,8384,27,9757,28,7127666,306,45.521595,-122.688099
121,-56,2017-01-31 07:40:43,8355,43,13450,44,7127547,221,45.511776,-122.450239
238,-134,2017-01-31 07:40:46,8371,2,8372,3,7127667,222,45.528504,-122.603373
112,-369,2017-01-31 07:41:11,8335,23,8336,24,7127287,417,45.51728,-122.674901
181,-343,2017-01-31 07:41:13,8346,15,8347,16,7129360,120,45.529841,-122.56348899999999
269,-245,2017-01-31 07:41:24,9836,41,9840,42,7127911,223,45.530275,-122.922063
200,-11,2017-01-31 07:41:38,7646,4,7608,5,7129575,414,45.515868,-122.67913300000001
206,-129,2017-01-31 07:41:39,9757,28,9820,29,7127666,306,45.520691,-122.691005
0,-128,2017-01-31 07:41:40,11511,11,11512,12,7128219,532,45.563272,-122.682203
271,-22,2017-01-31 07:41:54,13726,7,13727,8,7130120,246,45.506640000000004,-122.663046
296,-91,2017-01-31 07:41:55,10121,19,9624,20,7127665,209,45.50783,-122.774831
4,-144,2017-01-31 07:41:56,13135,4,13136,5,7129576,104,45.490846000000005,-122.56624
119,-146,2017-01-31 07:42:05,9822,12,9826,13,7127290,320,45.495992,-122.82341100000001
20,-8,2017-01-31 07:42:10,10293,2,7774,3,7129362,241,45.51162,-122.682658
94,36,2017-01-31 07:42:24,9843,3,9841,4,7127548,315,45.521075,-122.968425
120,-53,2017-01-31 07:42:27,13450,44,8356,45,7127547,313,45.507158000000004,-122.439276
